,no,s,n,marketCap,price,change,revenue,url
155,156,hose/PGI,Petrolimex Insurance Corporation,2639343744800.0,23800,4.845814977973569,3566159204033.0,quote/hose/PGI
156,157,hose/STK,Century Synthetic Fiber Corporation,2580205870800.0,26700,-2.0183486238532113,1210252569729.0,quote/hose/STK
157,158,hose/AST,Taseco Air Services JSC,2578500000000.0,57300,-0.5208333333333333,1330042251352.0,quote/hose/AST
158,159,hose/TBC,Thac Ba Hydropower JSC,2520950000000.0,39700,-0.12578616352201258,538668435744.0,quote/hose/TBC
159,160,hose/PET,PetroVietnam General Services JSC,2507970078500.0,24250,1.677148846960168,19061195366730.0,quote/hose/PET
160,161,hose/SHI,Son Ha International Corporation,2395114798800.0,14800,-0.6711409395973155,2053172656784.0,quote/hose/SHI
161,162,hose/DMC,Domesco Medical Import - Export Joint-Stock Corporation,2361467620000.0,69100,0.0,1797833583784.0,quote/hose/DMC
162,163,hose/BFC,Binh Dien Fertilizer JSC,2315303716500.0,41950,-1.410105757931845,9358243746877.0,quote/hose/BFC
163,164,hose/TRC,Tay Ninh Rubber JSC,2303787500000.0,82200,0.0,744134538942.0,quote/hose/TRC
164,165,hose/FCN,FECON Corporation,2298609473000.0,14950,1.3559322033898304,3374697356483.0,quote/hose/FCN
165,166,hose/TV2,Power Engineering Consulting Joint Stock Company 2,2295889610000.0,34000,-2.5787965616045847,1336237832457.0,quote/hose/TV2
166,167,hose/SGR,Saigon Real Estate Group JSC,2279999582000.0,38050,-0.2621231979030144,151466345283.0,quote/hose/SGR
167,168,hose/KSB,Binh Duong Mineral and Construction JSC,2260263134250.0,19750,-4.12621359223301,401275176502.0,quote/hose/KSB
168,169,hose/APG,APG Securities JSC,2216093445220.0,8590,1.536643026004728,288247808869.0,quote/hose/APG
169,170,hose/VOS,Vietnam Ocean Shipping JSC,2177000000000.0,16250,-0.6116207951070336,5576122957488.0,quote/hose/VOS
170,171,hose/YEG,Yeah1 Group Corporation,2171473045900.0,15850,-0.9375,1218618684333.0,quote/hose/YEG
171,172,hose/ELC,ELCOM Technology Communications Corporation,2168873584000.0,25500,-5.027932960893855,800145221381.0,quote/hose/ELC
172,173,hose/NBB,577 Investment Corporation,2163451572000.0,21900,-0.4545454545454546,66645448308.00001,quote/hose/NBB
173,174,hose/TTA,Truong Thanh Development and Construction Investment JSC,2142725671800.0,12600,0.0,,quote/hose/TTA
174,175,hose/NTL,Tu Liem Urban Development JSC,2134648250000.0,17500,-3.0470914127423825,1441314355785.0,quote/hose/NTL
175,176,hose/LIX,Lix Detergent JSC,2073600000000.0,32000,-2.1406727828746175,2876943464074.0,quote/hose/LIX
176,177,hose/IDI,I.D.I International Development and Investment Corporation,2054258463360.0,7600,0.13175230566534915,7136773393630.0,quote/hose/IDI
177,178,hose/LCG,Lizen JSC,1979080313600.0,11000,0.9174311926605504,1819663224743.0,quote/hose/LCG
178,179,hose/CTF,City Auto Corporation,1951338723600.0,20500,0.0,3295596655708.0,quote/hose/CTF
179,180,hose/CKG,Kien Giang Construction and Investment Consulting Corporation,1900424251950.0,20000,-0.24937655860349128,,quote/hose/CKG
180,181,hose/HQC,Hoang Quan Consulting - Trading - Service Real Estate Corporation,1873947640500.0,3220,0.625,100163568760.0,quote/hose/HQC
181,182,hose/SBA,Song Ba JSC,1826745482200.0,30400,1.3333333333333337,264112987329.99997,quote/hose/SBA
182,183,hose/LHG,Long Hau Corporation,1800432360000.0,36100,-0.5509641873278237,423446910138.0,quote/hose/LHG
183,184,hose/HTG,Hoa Tho Textile - Garment Joint Stock Corporation,1791134723000.0,49000,-1.0101010101010102,5102928678811.0,quote/hose/HTG
184,185,hose/HAX,Hang Xanh Motors Service JSC,1788873685650.0,16650,-5.6657223796034,5513287344174.0,quote/hose/HAX
185,186,hose/DCL,Cuu Long Pharmaceutical JSC,1749332668500.0,23850,-0.625,1306797442020.0,quote/hose/DCL
186,187,hose/APH,An Phat Holdings JSC,1731578302800.0,7250,1.5406162464985995,17326614572624.002,quote/hose/APH
187,188,hose/GIL,Binh Thanh Import Export Production and Trade JSC,1728102845000.0,18000,4.3478260869565215,710892295393.0,quote/hose/GIL
188,189,hose/PAC,Dry Cell and Storage Battery JSC,1714805988300.0,36900,-1.0723860589812333,3205408512601.0,quote/hose/PAC
189,190,hose/PVP,Pacific Petroleum Transportation JSC,1695535090200.0,16350,-1.2084592145015105,1601949601908.0,quote/hose/PVP
190,191,hose/ASG,ASG Corporation,1611427874750.0,17750,0.0,1915534107117.0,quote/hose/ASG
191,192,hose/OGC,Ocean Group JSC,1580999994730.0,5310,-0.1879699248120301,1000345883830.0,quote/hose/OGC
192,193,hose/THG,Tien Giang Investment and Construction JSC,1538353899100.0,59300,-3.104575163398693,1867292493415.0,quote/hose/THG
193,194,hose/ACC,ACC Binh Duong Investment and Construction JSC,1522499898500.0,14500,0.0,360351321721.0,quote/hose/ACC
194,195,hose/S4A,Sesan4A Hydropower JSC,1519200000000.0,36000,-2.964959568733154,269601660125.0,quote/hose/S4A
195,196,hose/CSM,The Southern Rubber Industry JSC,1512928825200.0,14550,-1.020408163265306,4712176016962.0,quote/hose/CSM
196,197,hose/NSC,Vietnam National Seed Group JSC,1509650924400.0,87500,0.0,2448696267958.0,quote/hose/NSC
197,198,hose/OPC,OPC Pharmaceutical JSC,1508398506600.0,23500,-0.21231422505307856,968575979199.0,quote/hose/OPC
198,199,hose/TIP,Tin Nghia Industrial Park Development Joint-Stock Company,1443174425400.0,22750,0.44150110375275936,167857497086.0,quote/hose/TIP
199,200,hose/FIT,F.I.T Group JSC,1417520751780.0,4180,-0.7125890736342043,1840104166846.0,quote/hose/FIT
200,201,hose/QNP,Quy NHON Port Joint STOCK Company,1394143275000.0,35600,-1.1111111111111112,,quote/hose/QNP
201,202,hose/SVC,Saigon General Service Corporation,1389028334400.0,20850,-0.47732696897374705,24949912816511.0,quote/hose/SVC
202,203,hose/EVG,Everland Group JSC,1366836458600.0,6700,-1.903367496339678,,quote/hose/EVG
203,204,hose/HPX,Hai Phat Investment JSC,1362675242880.0,4520,-1.0940919037199124,1615870373752.0,quote/hose/HPX
204,205,hose/CLC,Cat Loi JSC,1323482941500.0,50500,0.0,3691723816321.0,quote/hose/CLC
205,206,hose/SZL,Sonadezi Long Thanh Shareholding Company,1296131196000.0,49350,-0.10121457489878542,488191875766.0,quote/hose/SZL
206,207,hose/TCL,Tan Cang Logistics and Stevedoring JSC,1292288982600.0,44900,6.777645659928656,1630857986826.0,quote/hose/TCL
207,208,hose/LBM,Lam Dong Minerals and Building Materials JSC,1272000000000.0,31800,0.0,288802771161.0,quote/hose/LBM
208,209,hose/TDC,Binh Duong Trade and Development JSC,1250000000000.0,13050,-1.8796992481203008,1539053999011.0,quote/hose/TDC
209,210,hose/TTF,Truong Thanh Furniture Corporation,1235692009180.0,3140,-0.31746031746031744,1224423344957.0,quote/hose/TTF
210,211,hose/SMB,Sai Gon - Mien Trung Beer JSC,1235651227200.0,41350,-0.12077294685990338,1446430915995.0,quote/hose/SMB
211,212,hose/NHA,Ha Noi South Housing and Urban Development Corporation,1234677834000.0,27950,0.9025270758122744,160353679429.0,quote/hose/NHA
212,213,hose/VTO,Vietnam Tanker JSC,1233939989700.0,15450,-6.363636363636363,1118709518207.0,quote/hose/VTO
213,214,hose/TTE,Truong Thinh Energy Investment JSC,1230785280000.0,43200,0.0,,quote/hose/TTE
214,215,hose/CLL,Cat Lai Port JSC,1213800000000.0,35700,-0.27932960893854747,322046854786.0,quote/hose/CLL
215,216,hose/CTI,Cuong Thuan Idico Development Investment Corporation,1211079933700.0,22100,-5.555555555555555,1118665972237.0,quote/hose/CTI
216,217,hose/D2D,NO. 2 Industrial Urban Development JSC,1189207860600.0,40000,0.2506265664160401,346321381873.0,quote/hose/D2D
