Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price
ATS,2024,1,0.659324,12416.13085,0.004058385,0.004629949,257.7197219,0.123526865,1.191997747,0,0,51800000000,49581049588,8.3
ATS,2024,2,16.89377771,12433.02462,0.003642955,0.004202443,287.4716661,0.148083391,1.206464272,0,0,52500000000,51079631187,12.1
ATS,2024,3,18.72530657,12451.74993,0.003580631,0.004097333,314.1804922,0.093202273,1.284959953,0,0,56000000000,48060469808,19.9
ATS,2023,1,9.197067714,12358.70412,0.00535195,0.005983828,162.6478506,0.107138561,0.970975588,0,0,42000000000,48445887062,11.9
ATS,2023,2,22.14144886,12380.84557,0.006879008,0.007717138,117.4802372,0.109396726,0.904623189,0,0,39200000000,48655737945,13.5
ATS,2023,3,19.97822114,12400.82379,0.005324705,0.0059881,267.2539456,0.122623784,1.596668119,0,0,69300000000,49468953517,10.8
ATS,2023,4,14.64773257,12415.47152,0.004682181,0.005327238,115.2135379,0.137750789,0.612139457,0,0,26600000000,50396277286,19.8
ATS,2022,1,165.92204,12281.05441,0.013590642,0.017837306,71.42985797,0.161135638,1.245821367,0,0,53550000000,51240334447,23
ATS,2022,2,0.585291143,12285.00618,0.012404039,0.015601074,84.82263309,0.097222175,1.302400647,0,0,56000000000,47628021445,17
ATS,2022,3,41.226566,12326.23358,0.012845931,0.015471326,68.49130434,0.114128615,1.046548397,0,0,45150000000,48699865782,15.5
ATS,2022,4,22.77010114,12349.50705,0.015064974,0.018882471,51.51332227,0.103706715,0.963601215,0,0,41650000000,48222511127,12.9
ATS,2021,1,1.561288571,11929.09049,0.001770173,0.002236082,1238.79602,0.225850705,2.816643904,0,0,1.18E+11,53932512702,34
ATS,2021,2,26.15253286,11955.24302,-0.00903961,-0.011601636,-240.1126677,0.244392559,2.810482392,0,0,1.18E+11,55377102308,33.6
ATS,2021,3,41.51038914,11994.02405,-0.008206996,-0.010702789,-256.256482,0.254801878,2.743032685,0.009118541,0.306382978,1.15E+11,56332783153,33.6
ATS,2021,4,-19.38882,12118.49885,0.039689035,0.053038143,36.22516038,0.284019132,1.906176688,0.012987013,0.393506494,80850000000,57697632577,30.3
ATS,2020,1,17.27915571,12057.48216,0.029360002,0.035975894,60.42376228,0.177045476,2.189511844,0.011363636,0.372727274,92400000000,51280096661,32.8
ATS,2020,2,193.2099503,12227.83497,0.007428753,0.009166732,236.698652,0.195045215,2.15900853,0.011363636,0.303409092,92400000000,53167486166,26.7
ATS,2020,3,29.96307743,12257.79805,0.008817048,0.010970878,254.1363939,0.206161647,2.773744507,0.008823529,0.232941176,1.19E+11,54044117387,26.4
ATS,2020,4,-197.6112069,11927.5292,0.002587431,0.003234568,789.4202473,0.206173626,2.565493615,0,0,1.07E+11,53368047717,36.9
BAX,2024,1,706.7276317,25707.5934,0.045141654,0.154009846,10.51543525,0.710258998,1.641538333,0.059241706,2.340047395,3.46E+11,7.28E+11,39.5
BAX,2024,2,1076.883267,26765.39616,0,0,11.71288217,0.696606204,1.401062767,0.066666667,2.646000001,3.08E+11,7.23E+11,39.69
BAX,2024,3,698.0047844,26963.40095,0.040936112,0.137339681,11.358922,0.691337484,1.520579696,0.06097561,2.235975611,3.36E+11,7.16E+11,36.67
BAX,2023,1,201.6687032,29383.32345,0.022863828,0.073095105,24.93838058,0.688839227,1.834373845,0.046382189,2.333024117,4.42E+11,7.74E+11,50.3
BAX,2023,2,1888.42835,26271.7518,0.032305373,0.104247309,17.42894617,0.707149751,1.998344092,0.047619048,2.399523809,4.31E+11,7.36E+11,50.39
BAX,2023,3,290.1104446,26561.86224,0.024358814,0.079644673,18.95033468,0.700793219,1.592508824,0.059101655,2.664893615,3.47E+11,7.28E+11,45.09
BAX,2023,4,1127.881767,25689.74401,0,0,11.8298016,0.709372227,1.615430655,0.060240964,2.317469881,3.40E+11,7.25E+11,38.47
BAX,2022,1,5925.568073,32928.8582,0.121064795,0.465707129,6.369274736,0.664962528,2.429479927,0.0625,3.946875,6.56E+11,8.06E+11,63.15
BAX,2022,2,1037.525224,28966.38342,0.113539871,0.398553267,6.458724097,0.694649165,2.52361501,0.068399453,4.67373461,5.99E+11,7.78E+11,68.33
BAX,2022,3,1070.190209,30036.57363,0.118766775,0.386836535,6.063512626,0.684485803,2.333821456,0.071326676,4.616262484,5.75E+11,7.81E+11,64.72
