Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600738.SS,"Lanzhou Lishang Guochao Industrial Group Co.,Ltd",Consumer Cyclical,Department Stores,2020,0.11,2.212914129,0.025906121,1.985562661,0,57.14698271,0.173672589,2.840674211,0,4785879638,3345214270,6.286168098
600739.SS,"Liaoning Cheng Da Co., Ltd.",Healthcare,Medical Distribution,2020,1.81,15.72840629,0.070718279,1.567109493,0.1,12.79452203,0.225838231,1.472373261,0.004318146,35425152894,39187509868,23.15808487
600740.SS,"Shanxi Coking Co., Ltd.",Basic Materials,Coking Coal,2020,0.4283,4.356414074,0.051257971,1.842686172,0.076923,9.5363869,0.146241387,0.937568018,0.018833207,10464811084,21407133467,4.084434509
600741.SS,HUAYU Automotive Systems Company Limited,Consumer Cyclical,Auto Parts,2020,1.714,16.66461257,0.035027847,2.650997431,0.85,14.11541034,0.102752263,1.451807729,0.035132949,76276316046,1.54257E+11,24.19381332
600742.SS,"Changchun FAWAY Automobile Components Co.,Ltd",Consumer Cyclical,Auto Parts,2020,0.9321,8.495197315,0.033974849,2.29701688,0.2,9.5095592,0.020107248,1.043396616,0.022563533,6586362039,18168137429,8.86386013
600745.SS,"Wingtech Technology Co.,Ltd",Technology,Communication Equipment,2020,2.06,23.34947974,0.040030481,2.075258815,0.15,47.62038073,0.164176264,4.201292081,0.001529083,1.22088E+11,60337118275,98.09798431
600746.SS,Jiangsu SOPO Chemical Co. Ltd.,Basic Materials,Chemicals,2020,0.2242,2.523791119,0.064782422,1.211428598,0,24.84271401,0.057524248,2.206892813,0,6504561052,3570545534,5.569736481
600748.SS,"Shanghai Industrial Development Co.,Ltd",Real Estate,Real Estate - Development,2020,0.28,6.157699289,0.013626867,3.321827407,0.1,16.25615018,0.346363107,0.739192,0.021969707,8395924424,41751194963,4.55172205
600750.SS,"Jiang Zhong Pharmaceutical Co.,Ltd",Healthcare,Drug Manufacturers - Specialty & Generic,2020,0.75,6.162278039,0.096212797,1.158203622,0.3,11.33623505,6.03E-05,1.379713189,0.035285083,5348965868,4923870872,8.502176285
600754.SS,"Shanghai Jin Jiang International Hotels Co., Ltd.",Consumer Cyclical,Lodging,2020,0.1151,12.85909755,0.002284943,3.804347089,0.6,434.7007944,0.57362862,3.890946565,0.011991831,45733335249,48233550835,50.03406143
600755.SS,"Xiamen ITG Group Corp.,Ltd",Industrials,Industrial Distribution,2020,1.12,12.07793364,0.02300624,3.257793943,0.23,4.557239158,0.235220951,0.422597773,0.045061744,11062950105,1.13536E+11,5.104107857
600756.SS,"Inspur Software Co., Ltd.",Technology,Software - Application,2020,-0.27,6.55334367,-0.022369989,1.81438272,0.03,-57.45466727,0.000620205,2.367151937,0.001933892,5027670180,3853754997,15.51276016
600757.SS,"Changjiang Publishing & Media Co.,Ltd",Communication Services,Publishing,2020,0.67,6.495004945,0.074152743,1.388505547,0.2,6.378542487,0.006914204,0.657986176,0.046798695,5186683325,11011226128,4.273623466
600758.SS,"LIAONING ENERGY INDUSTRY Co.,LTD",Utilities,Utilities - Regulated Electric,2020,-0.35,3.752774662,-0.03077286,3.058754486,0.006,-11.32306848,0.449043256,1.056038352,0.001513976,5239262922,15178186914,3.963073969
600760.SS,AVIC Shenyang Aircraft Company Limited,Industrials,Aerospace & Defense,2020,0.542857,3.682711369,0.045055106,3.032024656,0.076531,71.32905629,0.0002933,10.51439378,0.001976448,1.06705E+11,32853080760,38.72147751
600761.SS,"Anhui Heli Co.,Ltd.",Industrials,Farm & Heavy Construction Machinery,2020,0.99,6.109369113,0.074650383,1.639093085,0.35,12.82884617,0.076334902,2.078865669,0.027557845,11312297746,9805827541,12.70055771
600763.SS,"Topchoice Medical Co., Inc.",Healthcare,Medical Care Facilities,2020,1.099533,4.807024557,0.13952406,1.503482546,0,177.5170061,0.212878015,40.60428732,0,87304462541,3530755977,195.1858063
