Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q1 2021,278934,36983,482.11,-,1259469,512122,747347,10657.38,1568060,15.85,1.6,2.1,8.04%,15.56%,7.04%,-,OPC,3/31/2021 0:00,20.57,OPC
Q4 2020,291402,28837,403.73,829.875,1152625,442110,710515,10079.98,1581348,16.68,1.64,2.23,6.30%,12.40%,6.69%,6.00%,OPC,12/31/2020 0:00,20.74,OPC
Q3 2020,213573,22903,357.58,414.938,1159656,449874,709782,10049.76,1461750,17.07,1.61,2.06,5.50%,12.01%,6.54%,6.60%,OPC,9/30/2020 0:00,18.85,OPC
Q2 2020,193854,21703,301.46,-,1186636,497524,689113,9701.4,1514905,16.42,1.58,2.2,9.12%,18.43%,6.75%,-,OPC,6/30/2020 0:00,18.85,OPC
Q1 2020,266761,32347,417.12,-,1200318,480224,720094,10183.22,1315575,13.74,1.3,1.83,Upgrade,Upgrade,8.11%,-,OPC,3/31/2020 0:00,16.37,OPC
Q4 2019,,,,,,,,,,,,,,,,,OPC,12/31/2019 0:00,15.21,OPC
Q3 2024,6776355,6184,93,-,8320644,5821407,2499237,24806.16,1638854,23.75,0.07,0.66,1.09%,12.61%,4.21%,-,SVC,9/30/2024 0:00,24.6,SVC
Q2 2024,5392613,31927,478.7,-,7937550,5160801,2776749,25479.67,2298392,35.01,0.11,0.83,0.61%,1.28%,2.86%,-,SVC,6/30/2024 0:00,33.85,SVC
Q1 2024,4060258,13730,206,-,7196498,4497886,2698612,24980.45,1895341,48.17,0.09,0.7,0.66%,1.80%,2.08%,-,SVC,3/31/2024 0:00,27.91,SVC
Q4 2023,6560161,17156,210.2,500,7173863,4733932,2439931,24820.59,1961961,68.56,0.09,0.8,2.23%,1.42%,1.46%,1.76%,SVC,12/31/2023 0:00,28.39,SVC
Q3 2023,5030598,2844,45,-,6616943,4181890,2435053,24663.64,2331702,25.41,0.11,0.96,2.46%,1.68%,4.21%,-,SVC,9/30/2023 0:00,33.74,SVC
Q2 2023,4454425,5618,109.12,-,6442726,4036800,2405927,24541.99,2758071,14.72,0.13,1.15,1.23%,2.40%,7.03%,-,SVC,6/30/2023 0:00,39.91,SVC
Q1 2023,4791727,3000,45,-,6255672,3822202,2433470,24871.66,2511972,9.17,0.11,1.03,5.96%,28.41%,11.17%,-,SVC,3/31/2023 0:00,35.86,SVC
Q4 2022,6880984,86793,1205.51,500,6146725,3691056,2455669,24790.6,3810668,11.68,0.18,1.55,7.12%,28.98%,8.73%,0.92%,SVC,12/31/2022 0:00,54.4,SVC
Q3 2022,5023041,98441,1477.5,-,5323541,3038983,2284558,23595.02,3494222,11.42,0.18,1.53,8.43%,31.37%,9.25%,-,SVC,9/30/2022 0:00,49.89,SVC
Q2 2022,5188682,92325,1385.95,-,4344305,2206171,2138134,22103.33,3420940,19.25,0.21,1.6,4.37%,19.68%,5.70%,-,SVC,6/30/2022 0:00,48.37,SVC
Q1 2022,4217792,55156,828,-,4539230,2538297,2000932,21209.4,3455242,28.16,0.23,1.73,5.88%,26.68%,4.05%,-,SVC,3/31/2022 0:00,48.84,SVC
Q4 2021,5460800,77266,826.12,500,4429010,2559006,1870004,20375.81,3516529,27.4,0.25,1.88,-2.53%,-11.31%,4.14%,1.01%,SVC,12/31/2021 0:00,49.73,SVC
Q3 2021,1668083,-29769,-447.5,-,4602543,2850850,1751692,19340.42,2697338,-,0.18,1.54,2.13%,11.56%,5.76%,-,SVC,9/30/2021 0:00,38.15,SVC
Q2 2021,3523361,37330,362.91,-,4333188,2501286,1831902,20235.33,2297732,10.17,0.14,1.25,4.72%,20.02%,10.02%,-,SVC,6/30/2021 0:00,32.08,SVC
Q1 2021,3536628,60796,882,-,4258172,2457006,1801166,19865.61,2331033,11.64,0.14,1.29,5.72%,31.77%,8.77%,-,SVC,3/31/2021 0:00,32.55,SVC
Q4 2020,5930552,86991,1219.14,500,4260582,2517451,1743131,18944.8,2297271,15.36,0.14,1.32,2.42%,16.54%,6.69%,1.56%,SVC,12/31/2020 0:00,32.08,SVC
Q3 2020,3900572,45050,675.75,-,4173347,2544011,1629337,17641.15,2394304,23.73,0.16,1.47,-,3.78%,4.86%,-,SVC,9/30/2020 0:00,33.43,SVC
Q2 2020,3107026,11677,186,-,4256383,2652719,1603664,17244.65,1748285,19.14,0.11,1.09,-,2.15%,6.10%,-,SVC,6/30/2020 0:00,24.41,SVC
Q1 2020,3145733,10020,107.54,-,-,-,1639811,17341.47,1148873,11.48,0.07,0.7,Upgrade,Upgrade,10.05%,-,SVC,3/31/2020 0:00,15.83,SVC
Q4 2019,,,,,,,,,,,,,,,,,SVC,12/31/2019 0:00,14.79,SVC
Q3 2024,880858,45445,1561,1500,2040399,1157840,882558,33675.69,1158375,7.71,0.32,1.31,8.40%,16.21%,14.41%,9.31%,CLC,9/30/2024 0:00,42.97,CLC
Q2 2024,922494,34769,1152.33,-,1796628,959515,837114,31941.66,1145271,8.09,0.33,1.37,9.97%,19.50%,13.82%,-,CLC,6/30/2024 0:00,42.49,CLC
Q1 2024,912960,42770,1503.13,-,1804008,924952,879056,33542.05,1032579,7.44,0.32,1.17,10.35%,20.61%,14.99%,-,CLC,3/31/2024 0:00,36.39,CLC
Q4 2023,892417,43993,1359.22,2500,1566793,691196,875597,33410.08,984095,7.83,0.33,1.12,9.40%,18.07%,14.26%,11.99%,CLC,12/31/2023 0:00,33.37,CLC
Q3 2023,774563,36748,1255,1500,1590063,758459,831605,31731.45,914645,7.3,0.34,1.1,8.21%,15.37%,15.32%,11.29%,CLC,9/30/2023 0:00,31.01,CLC
Q2 2023,657586,31237,1042.4,-,1553973,759116,794857,30329.28,906782,6.99,0.36,1.14,7.74%,13.58%,15.93%,-,CLC,6/30/2023 0:00,30.75,CLC
Q1 2023,646264,28388,954.85,-,1500204,669486,830718,31697.61,902851,7.01,0.37,1.09,11.93%,21.42%,15.93%,-,CLC,3/31/2023 0:00,28.92,CLC
Q4 2022,651420,43711,1345.43,2000,1385113,543472,841641,32114.39,838643,6.67,0.36,1,11.50%,21.32%,16.75%,13.60%,CLC,12/31/2022 0:00,25.74,CLC
