Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q1 2024,729505,44038,605.5,-,1269900,375927,893973,13795.88,2219400,13.03,0.78,2.48,11.75%,21.28%,8.55%,-,LIX,3/31/2024 0:00,32.87,LIX
Q4 2023,726208,45820,591.19,-,1306037,423701,882335,13616.29,1668600,9.78,0.6,1.89,12.58%,25.64%,11.39%,-,LIX,12/31/2023 0:00,24.71,LIX
Q3 2023,717633,52201,736,500,1291320,450870,840450,12969.91,1603800,9.71,0.57,1.91,14.00%,23.38%,11.65%,6.44%,LIX,9/30/2023 0:00,23.3,LIX
Q2 2023,678957,47704,668.01,-,1199859,411609,788249,12164.34,1458000,8.79,0.52,1.85,10.94%,21.21%,12.87%,-,LIX,6/30/2023 0:00,21.18,LIX
Q1 2023,677761,44317,614.5,-,1193901,350043,843857,13022.49,1360800,7.24,0.48,1.61,12.27%,20.91%,15.40%,-,LIX,3/31/2023 0:00,18.94,LIX
Q4 2022,724281,42575,285.64,1000,1232349,405026,827323,12767.33,1330020,7.09,0.47,1.61,13.48%,27.35%,15.73%,9.80%,LIX,12/31/2022 0:00,17.85,LIX
Q3 2022,729616,52992,748.5,-,1199521,397890,801631,12370.85,1427220,6.71,0.51,1.78,11.57%,36.12%,16.10%,-,LIX,9/30/2022 0:00,19.15,LIX
Q2 2022,701699,69612,1005,750,1233823,485184,748639,11553.07,1373760,7.64,0.52,1.84,11.40%,22.87%,14.33%,4.07%,LIX,6/30/2022 0:00,18.44,LIX
Q1 2022,659545,44086,611,-,1182238,389051,793186,12240.53,1645920,10.95,0.64,2.08,17.95%,35.14%,10.16%,-,LIX,3/31/2022 0:00,20.68,LIX
Q4 2021,706475,63045,661.51,-,1167644,418543,749101,11560.19,1629720,10.84,0.62,2.18,5.87%,11.93%,10.27%,-,LIX,12/31/2021 0:00,20.48,LIX
Q3 2021,550928,20155,258.5,-,1060452,374396,686056,10587.28,1843560,12.2,0.71,2.69,11.75%,23.75%,9.47%,-,LIX,9/30/2021 0:00,23.16,LIX
Q2 2021,656576,40011,554,-,1080210,414309,665901,10276.25,1837080,10.27,0.68,2.76,13.42%,26.78%,11.01%,-,LIX,6/30/2021 0:00,23.08,LIX
Q1 2021,699024,44156,612,-,1052567,370917,681650,10519.29,1989360,10.65,0.73,2.92,21.92%,43.13%,10.57%,-,LIX,3/31/2021 0:00,24.57,LIX
Q4 2020,682986,70201,663.18,500,1017669,380175,637494,9837.87,1749600,8.46,0.6,2.74,13.72%,29.89%,13.15%,9.26%,LIX,12/31/2020 0:00,21.61,LIX
Q3 2020,649600,47872,668,-,1058379,393885,664493,10254.53,1911600,10.12,0.66,2.88,14.75%,31.04%,10.83%,-,LIX,9/30/2020 0:00,22.4,LIX
Q2 2020,689193,47959,669,1500,1098135,481513,616622,9515.77,1749600,9.25,0.6,2.84,20.11%,43.65%,11.85%,9.85%,LIX,6/30/2020 0:00,20.31,LIX
Q1 2020,880414,64077,924,-,1091809,472536,619273,9556.68,1344600,7.22,0.47,2.17,Upgrade,Upgrade,15.20%,-,LIX,3/31/2020 0:00,15.48,LIX
Q4 2019,,,,,,,,,,,,,,,,,LIX,12/31/2019 0:00,16.04,LIX
Q3 2024,1881415,14886,60,-,8368227,4894515,3473712,12045.2,2581482,55.26,0.35,0.74,2.61%,2.29%,1.81%,-,IDI,9/30/2024 0:00,9.45,IDI
Q2 2024,1938194,16362,90.71,-,8285653,4831140,3454513,11986.46,2561002,49.98,0.36,0.74,1.83%,1.93%,2.00%,-,IDI,6/30/2024 0:00,9.37,IDI
Q1 2024,1629850,13661,50,-,8211585,4773470,3438114,11938.1,2902469,51.02,0.41,0.84,1.62%,0.66%,1.96%,-,IDI,3/31/2024 0:00,10.62,IDI
Q4 2023,1883259,1804,6.63,-,8277448,4855892,3421557,11888.09,2663442,46.11,0.37,0.78,1.84%,2.74%,2.17%,-,IDI,12/31/2023 0:00,9.75,IDI
Q3 2023,1749210,19419,70.83,-,8393078,4963805,3429272,11881.51,3061820,40.02,0.43,0.89,3.01%,3.16%,2.66%,-,IDI,9/30/2023 0:00,11.21,IDI
Q2 2023,1826563,22010,80.83,-,8327937,4922081,3405856,11810.52,2925233,19.21,0.4,0.86,2.65%,2.07%,5.38%,-,IDI,6/30/2023 0:00,10.71,IDI
Q1 2023,1762207,14533,53.33,-,8200600,4816671,3383928,11747.77,2538237,7.08,0.32,0.75,2.23%,3.46%,14.31%,-,IDI,3/31/2023 0:00,9.29,IDI
Q4 2022,1708653,25538,74.97,-,8084108,4717688,3366420,11694.57,2481326,4.58,0.31,0.74,4.14%,11.45%,22.06%,-,IDI,12/31/2022 0:00,9.08,IDI
Q3 2022,1964170,95227,348.33,1250,8397067,5059701,3337365,11601.08,3300847,5.46,0.43,0.99,9.29%,27.04%,18.37%,10.34%,IDI,9/30/2022 0:00,12.08,IDI
Q2 2022,2385867,227991,835.36,-,8125058,4550981,3574077,12487.75,4848830,9.35,0.72,1.36,6.89%,24.82%,10.74%,-,IDI,6/30/2022 0:00,16.5,IDI
Q1 2022,1871834,198599,726.67,-,7919425,4572829,3346597,11675.2,6191933,19.7,1,1.85,3.77%,11.01%,5.11%,-,IDI,3/31/2022 0:00,21.07,IDI
Q4 2021,1407235,84549,301.51,-,7553859,4411250,3142608,10938.56,3642314,27.05,0.64,1.16,1.57%,1.30%,3.75%,-,IDI,12/31/2021 0:00,12.39,IDI
Q3 2021,1110944,9427,34.17,-,7354331,4297933,3056398,10625.78,1600342,19.81,0.26,0.52,2.62%,3.56%,5.17%,-,IDI,9/30/2021 0:00,5.44,IDI
Q2 2021,1829858,23737,86.67,-,7488604,4442116,3046488,10591.27,1520666,15.22,0.23,0.5,2.10%,2.81%,6.70%,-,IDI,6/30/2021 0:00,5.17,IDI
Q1 2021,1370810,18918,69.16,-,7527155,4507359,3019796,10505.37,1547983,15.55,0.25,0.51,3.03%,4.61%,6.56%,-,IDI,3/31/2021 0:00,5.27,IDI
Q4 2020,1917606,30701,105.12,-,7713636,4714952,2998684,10394.92,1670911,17.8,0.26,0.56,2.54%,4.37%,5.74%,-,IDI,12/31/2020 0:00,5.68,IDI
Q3 2020,1514647,28524,104.17,-,7295664,4323085,2972580,10354.14,1183752,12.41,0.18,0.4,2.37%,3.62%,8.40%,-,IDI,9/30/2020 0:00,4.03,IDI
Q2 2020,1471944,23374,86.06,-,7540157,4614015,2926142,10197.71,915131,7.31,0.13,0.31,1.35%,1.95%,14.11%,-,IDI,6/30/2020 0:00,3.11,IDI
Q1 2020,1462560,13284,48.33,-,7435151,4531374,2903777,10126.79,648787,3.9,0.09,0.22,Upgrade,Upgrade,26.28%,-,IDI,3/31/2020 0:00,2.21,IDI
Q4 2019,,,,,,,,,,,,,,,,,IDI,12/31/2019 0:00,3.99,IDI
Q3 2024,90670,42126,842.31,-,3004628,1390110,1614518,32282.6,1840442,10.91,3.88,1.14,6.23%,16.35%,10.89%,-,LHG,9/30/2024 0:00,36.8,LHG
Q2 2024,161957,65427,1308.23,-,3136578,1561809,1574769,31487.82,1870449,12,4.15,1.19,2.16%,7.81%,10.02%,-,LHG,6/30/2024 0:00,35.73,LHG
Q1 2024,76246,31453,628.92,-,3057087,1431003,1626085,32513.88,1800432,15.06,5.07,1.11,4.68%,15.69%,8.40%,-,LHG,3/31/2024 0:00,34.39,LHG
Q4 2023,144969,61356,594.91,1900,3055127,1460495,1594631,31884.97,1515364,11.26,3.84,0.95,-,-,10.97%,6.56%,LHG,12/31/2023 0:00,28.95,LHG
Q3 2023,67451,29189,583.63,-,2989901,1456626,1533276,30658.15,1672902,14.24,4.74,1.09,-,-,8.18%,-,LHG,9/30/2023 0:00,31.95,LHG
Q2 2023,66744,29173,-,-,-,-,-,-,1330319,7.79,2.87,-,3.78%,11.91%,14.28%,-,LHG,6/30/2023 0:00,25.41,LHG
Q1 2023,115695,46469,929.16,-,3007254,1421800,1585455,31687.96,1115268,6.11,1.77,0.7,2.01%,8.42%,18.09%,-,LHG,3/31/2023 0:00,19.91,LHG
Q4 2022,103260,31952,253.21,1900,3003715,1469006,1534709,30673.29,1067756,5.78,1.7,0.7,6.64%,22.56%,19.10%,9.97%,LHG,12/31/2022 0:00,19.06,LHG
Q3 2022,177903,82433,1648.27,-,2996542,1493786,1502756,30034.4,1255301,7.9,2.13,0.84,3.74%,11.14%,15.71%,-,LHG,9/30/2022 0:00,22.41,LHG
Q2 2022,233365,40846,816.73,-,3003859,1583543,1420316,28386.13,1640394,17.02,3.54,1.15,4.22%,13.08%,8.21%,-,LHG,6/30/2022 0:00,29.29,LHG
Q1 2022,114331,48659,972.95,-,2915875,1403107,1512768,30234.85,2870689,10.48,3.65,1.9,2.43%,6.96%,10.88%,-,LHG,3/31/2022 0:00,48.35,LHG
Q4 2021,63822,25252,-260.52,-,2845357,1381254,1464103,29261.9,2650637,-,3.39,1.81,1.25%,5.57%,11.18%,-,LHG,12/31/2021 0:00,44.64,LHG
Q3 2021,52041,19893,397.76,-,2852196,1413351,1438845,28756.97,2445587,7.78,2.71,1.7,22.80%,63.90%,13.71%,-,LHG,9/30/2021 0:00,41.19,LHG
Q2 2021,555553,218485,4368.64,-,2905935,1486986,1418949,28359.21,2268045,7.13,2.46,1.6,3.84%,10.05%,14.94%,-,LHG,6/30/2021 0:00,36.75,LHG
Q1 2021,110234,32665,653.15,-,2945494,1629154,1316340,26307.59,1660399,11.27,3.03,1.26,6.94%,20.56%,10.13%,-,LHG,3/31/2021 0:00,26.91,LHG
Q4 2020,183580,64326,869.19,1900,2599631,1315960,1283671,25654.44,1715412,9.65,2.67,1.34,2.25%,7.76%,11.58%,6.83%,LHG,12/31/2020 0:00,27.8,LHG
Q3 2020,72378,23417,468.22,-,2418783,1199442,1219341,24368.23,1380331,8.21,1.89,1.13,5.07%,15.59%,12.99%,-,LHG,9/30/2020 0:00,22.37,LHG
Q2 2020,181225,47737,954.51,-,2556907,1360987,1195920,23900.01,880211,5.39,1.25,0.74,7.97%,20.66%,19.83%,-,LHG,6/30/2020 0:00,12.97,LHG
Q1 2020,206396,63150,-,-,2450039,1195707,1254332,-,580139,4.15,0.92,0.46,Upgrade,Upgrade,26.03%,-,LHG,3/31/2020 0:00,8.55,LHG
Q4 2019,,,,,,,,,,,,,,,,,LHG,12/31/2019 0:00,11.35,LHG
Q4 2023,1120393,31275,572.75,1000,2507721,1670915,836806,22159.55,1117884,7.12,0.24,1.34,7.64%,27.98%,15.38%,12.70%,HTG,12/31/2023 0:00,27.57,HTG
Q3 2023,1269890,58899,1601.14,-,2491116,1609970,881146,23354.65,-,-,-,-,3.85%,15.55%,-,-,HTG,9/30/2023 0:00,25.93,HTG
Q2 2023,1039984,34545,2369.64,2500,2371161,1549578,821583,21718.68,-,-,-,-,6.15%,21.07%,-,-,HTG,6/30/2023 0:00,22.23,HTG
Q1 2023,1269943,47262,1575,-,2190127,1266205,923922,29441.31,-,-,-,-,8.88%,32.71%,-,-,HTG,3/31/2023 0:00,22.82,HTG
Q4 2022,1202325,74154,1011.88,4000,2413126,1511688,901439,28584.59,-,-,-,-,-,-,-,-,HTG,12/31/2022 0:00,16.86,HTG
Q3 2022,1388527,71532,2326.09,-,2559926,1729314,830612,26113.05,-,-,-,-,-,-,-,-,HTG,9/30/2022 0:00,17.35,HTG
Q2 2022,1242623,60595,2779.36,-,-,-,-,-,-,-,-,-,-,-,-,-,HTG,6/30/2022 0:00,23.38,HTG
Q1 2022,1345064,72773,3080,-,2200122,1468185,731936,29029,-,-,-,-,-,-,-,-,HTG,3/31/2022 0:00,26.09,HTG
Q4 2021,1188865,99035,4190.05,1000,2340765,1686966,653799,25948.64,-,-,-,-,-,-,-,-,HTG,12/31/2021 0:00,15.7,HTG
Q3 2021,1125240,48036,2134.61,-,-,-,-,-,-,-,-,-,-,18.86%,-,-,HTG,9/30/2021 0:00,11.62,HTG
Q1 2021,722326,20823,925,-,-,-,477990,20012.65,-,-,-,-,2.72%,14.12%,-,-,HTG,3/31/2021 0:00,9.87,HTG
Q4 2020,837726,16559,670.55,-,1751237,1273248,477990,20012.65,-,-,-,-,2.72%,14.63%,-,-,HTG,12/31/2020 0:00,8.12,HTG
Q3 2020,837726,16559,670.55,-,1751237,1273248,477990,20012.65,-,-,-,-,2.53%,12.83%,-,-,HTG,9/30/2020 0:00,7.77,HTG
Q2 2020,790406,13810,613.76,-,1745088,1300840,444248,18540.78,-,-,-,-,2.51%,12.31%,-,-,HTG,6/30/2020 0:00,8.6,HTG
Q1 2020,790406,13810,613.76,-,1745088,1300840,444248,18540.78,-,-,-,-,4.96%,27.41%,-,-,HTG,3/31/2020 0:00,5.89,HTG
Q3 2024,,,,,,,,,,,,,,,,,HTG,9/30/2024 0:00,41.27,HTG
Q2 2024,,,,,,,,,,,,,,,,,HTG,6/30/2024 0:00,32.94,HTG
Q1 2024,,,,,,,,,,,,,,,,,HTG,3/31/2024 0:00,28.86,HTG
Q2 2021,,,,,,,,,,,,,,,,,HTG,6/30/2021 0:00,9.3,HTG
Q4 2019,,,,,,,,,,,,,,,,,HTG,12/31/2019 0:00,7.85,HTG
Q3 2024,152587,2961,29.96,-,3317573,760786,2556786,25031.56,2136419,20.61,2.85,0.84,-1.35%,0.59%,4.85%,-,GIL,9/30/2024 0:00,21.62,GIL
Q2 2024,145072,3650,37.15,-,3368634,817657,2550977,24970.66,2335442,28.6,2.66,0.92,0.19%,1.13%,3.50%,-,GIL,6/30/2024 0:00,22.38,GIL
Q1 2024,221497,5186,52.32,-,3365896,817669,2548227,24921.46,2622896,36.5,2.62,1.03,-0.80%,14.82%,2.74%,-,GIL,3/31/2024 0:00,26.54,GIL
Q4 2023,230359,91880,929.53,-,3357159,813587,2543572,24894.98,1697568,59.66,1.81,0.67,-1.23%,-3.20%,1.68%,-,GIL,12/31/2023 0:00,17.18,GIL
Q3 2023,280077,-19068,-192.95,-,3431571,979281,2452290,23978.06,2170438,-,2.24,0.89,-1.68%,-0.87%,-2.45%,-,GIL,9/30/2023 0:00,21.96,GIL
Q2 2023,269064,-6129,-62.02,-,3523633,1050063,2473570,24187.21,1813234,-,2.01,0.73,-3.22%,-6.19%,5.21%,-,GIL,6/30/2023 0:00,18.35,GIL
Q1 2023,156896,-38228,-386.93,-,3399052,917935,2481117,24271.27,1307472,-,0.69,0.53,0.68%,1.58%,16.54%,-,GIL,3/31/2023 0:00,13.29,GIL
Q4 2022,262001,10141,105.19,-,3988337,1476678,2511659,25054.86,1230175,3.4,0.39,0.49,-1.23%,20.73%,29.41%,-,GIL,12/31/2022 0:00,12.63,GIL
Q3 2022,213092,128742,1333.15,-,4267672,1764236,2503436,24857.55,2151946,4.5,0.5,0.86,6.80%,22.34%,22.20%,-,GIL,9/30/2022 0:00,22.1,GIL
Q2 2022,1274725,115613,1404.51,-,5213756,2769590,2444166,24238.55,3264534,8.89,0.69,1.34,8.71%,25.77%,11.25%,-,GIL,6/30/2022 0:00,32.93,GIL
Q1 2022,1416856,107263,1547.56,-,4030442,2314394,1716048,23930.71,3738721,10.2,0.79,2.18,12.66%,32.93%,9.80%,-,GIL,3/31/2022 0:00,52.99,GIL
Q4 2021,1398738,126071,1818.92,598.682,3765801,2155361,1610440,22405.34,2655696,8.04,0.64,1.65,1.77%,5.07%,12.44%,1.59%,GIL,12/31/2021 0:00,37.64,GIL
Q3 2021,629260,18185,309.41,-,3081763,1625905,1455858,20608.94,2755284,8.51,0.75,1.89,13.00%,32.87%,11.75%,-,GIL,9/30/2021 0:00,39.05,GIL
Q2 2021,1258133,115042,1660.7,-,3119258,1679857,1439401,20373.91,2059965,5.25,0.52,1.43,8.58%,21.46%,19.05%,-,GIL,6/30/2021 0:00,29.21,GIL
Q1 2021,864190,70994,1024.74,-,2760636,1401127,1359510,19232,2481636,7.36,0.69,1.83,14.46%,38.98%,13.58%,-,GIL,3/31/2021 0:00,34.61,GIL
Q4 2020,911080,119434,2005.19,498.901,2708562,1418574,1289988,18229.43,1452333,4.7,0.42,1.13,9.87%,33.18%,21.26%,2.46%,GIL,12/31/2020 0:00,20.25,GIL
Q3 2020,907248,86935,1544.6,-,2996757,1828111,1168646,16475.58,882675,3.4,0.27,0.76,8.67%,26.40%,29.37%,-,GIL,9/30/2020 0:00,12.32,GIL
Q2 2020,916474,59671,1318.45,-,2288511,1358875,929636,20491.29,388365,1.94,0.13,0.42,8.07%,19.97%,51.50%,-,GIL,6/30/2020 0:00,7.78,GIL
Q1 2020,721944,42783,945.32,-,1869625,991636,877989,19382.68,341359,2,0.13,0.39,Upgrade,Upgrade,50.08%,-,GIL,3/31/2020 0:00,6.54,GIL
Q4 2019,,,,,,,,,,,,,,,,,GIL,12/31/2019 0:00,7.44,GIL
Q3 2024,796911,32300,625,500,2725343,1765491,959852,20654.55,2114463,18.17,0.64,2.2,4.83%,14.24%,6.12%,3.33%,PAC,9/30/2024 0:00,44.98,PAC
Q2 2024,850996,34226,667.82,-,2560418,1586394,974023,20959.49,2370057,22.54,0.74,2.43,4.31%,11.76%,4.98%,-,PAC,6/30/2024 0:00,49.24,PAC
Q1 2024,795216,27832,523.36,-,2538387,1589323,949064,20422.41,1440623,13.71,0.46,1.52,5.33%,15.07%,8.11%,-,PAC,3/31/2024 0:00,29.93,PAC
Q4 2023,862855,34943,609.3,1000,2433506,1489037,944468,20323.51,1126939,10.87,0.35,1.19,3.60%,9.19%,10.22%,6.53%,PAC,12/31/2023 0:00,22.98,PAC
Q3 2023,672767,21061,408,500,2361607,1450538,911069,19604.81,1303531,13.9,0.44,1.43,5.07%,14.47%,7.92%,4.51%,PAC,9/30/2023 0:00,26.58,PAC
Q2 2023,807606,33034,664.44,-,2303493,1380956,922538,19851.6,1426681,13,0.45,1.55,4.47%,11.45%,8.36%,-,PAC,6/30/2023 0:00,28.42,PAC
Q1 2023,841719,26164,490.8,-,2171162,1266867,904296,19459.06,1459212,11.25,0.45,1.61,3.38%,10.09%,9.65%,-,PAC,3/31/2023 0:00,29.07,PAC
Q4 2022,658544,23015,417.88,700,2416590,1493530,923060,19862.83,1547508,10.93,0.46,1.68,5.59%,16.43%,10.11%,5.70%,PAC,12/31/2022 0:00,29.85,PAC
Q3 2022,866472,37002,717,1000,2847636,1945715,901921,19407.96,1626510,8.98,0.45,1.8,6.71%,24.82%,12.38%,4.78%,PAC,9/30/2022 0:00,31.37,PAC
Q2 2022,907737,54657,1095.24,-,2983191,2083724,899467,19355.15,1719453,10.2,0.52,1.91,5.03%,19.44%,10.98%,-,PAC,6/30/2022 0:00,32.68,PAC
Q1 2022,965945,41714,777,-,2883743,2021175,862568,18561.15,1765925,11.29,0.56,2.05,6.46%,32.89%,9.93%,-,PAC,3/31/2022 0:00,33.56,PAC
Q4 2021,853190,67981,1184.4,500,2468635,1614497,854138,18379.75,1719453,10.99,0.56,2.01,2.21%,12.22%,10.11%,4.72%,PAC,12/31/2021 0:00,31.81,PAC
Q3 2021,560935,24407,473,1000,2600390,1801045,799345,17200.68,1882104,13.74,0.65,2.35,4.51%,21.04%,8.00%,4.31%,PAC,9/30/2021 0:00,34.81,PAC
Q2 2021,753274,41258,834.62,-,2686745,1888570,798174,17175.49,1789161,11.23,0.58,2.24,5.36%,21.42%,9.66%,-,PAC,6/30/2021 0:00,32.66,PAC
Q1 2021,881119,40181,775.6,-,2498591,1728113,770478,16579.5,1463859,10.18,0.49,1.9,5.88%,24.47%,10.90%,-,PAC,3/31/2021 0:00,26.72,PAC
Q4 2020,711254,44727,809.1,500,2400230,1669933,730297,15714.86,1277972,9.45,0.43,1.75,6.64%,26.36%,11.63%,6.43%,PAC,12/31/2020 0:00,23.33,PAC
Q3 2020,737307,46664,903,1000,2251700,1519659,732041,15752.4,1159469,8.32,0.38,1.58,3.18%,16.21%,13.35%,7.36%,PAC,9/30/2020 0:00,20.37,PAC
Q2 2020,684557,28005,503.31,-,2265014,1580945,684069,14720.11,985200,7.73,0.33,1.44,5.71%,17.09%,14.51%,-,PAC,6/30/2020 0:00,17.31,PAC
Q1 2020,820900,29187,567.27,-,2529693,1832068,697626,15011.84,790019,5.43,0.25,1.13,6.36%,30.32%,20.22%,-,PAC,3/31/2020 0:00,13.57,PAC
Q4 2019,,,,,,,,,,,,,,,,,PAC,12/31/2019 0:00,19.95,PAC
Q3 2024,548340,50643,1835,1000,2036261,1335851,700409,26599.2,1167385,12.03,0.69,1.67,3.13%,10.91%,8.84%,4.28%,THG,9/30/2024 0:00,44.01,THG
Q2 2024,376132,17921,573.73,-,1867051,1217973,649078,24651.27,1072697,12.62,0.67,1.65,3.27%,10.46%,8.50%,-,THG,6/30/2024 0:00,40.44,THG
Q1 2024,324848,17557,635.27,-,1801210,1118352,682858,25915.09,949309,9.63,0.58,1.39,3.90%,10.38%,10.96%,-,THG,3/31/2024 0:00,34.98,THG
Q4 2023,440299,17086,594.48,884.956,1852230,1163756,688474,26124.72,901097,8.22,0.54,1.31,6.92%,24.03%,12.95%,5.46%,THG,12/31/2023 0:00,32.42,THG
Q3 2023,468516,38614,1399.12,884.956,1883821,1212992,670829,25465.82,959640,7.8,0.56,1.43,5.55%,19.59%,13.95%,4.91%,THG,9/30/2023 0:00,33.66,THG
Q2 2023,405713,30778,960.78,-,1813075,1181377,631698,23977.05,941274,8.41,0.57,1.49,5.24%,18.94%,13.05%,-,THG,6/30/2023 0:00,33.02,THG
Q1 2023,355252,30187,1287.22,-,1802875,1150532,652343,24774.3,806541,6.17,0.49,1.24,5.72%,22.42%,17.48%,-,THG,3/31/2023 0:00,27.69,THG
Q4 2022,495144,34321,1204.63,769.527,1848583,1206846,641737,24382.8,785579,6.01,0.48,1.22,5.34%,19.26%,18.09%,5.85%,THG,12/31/2022 0:00,26.33,THG
Q3 2022,388347,27561,1062.37,769.527,1745953,1143245,602708,22880.8,964256,7.26,0.63,1.6,10.76%,34.66%,14.65%,5.36%,THG,9/30/2022 0:00,31.58,THG
Q2 2022,413527,48933,1713.31,-,1566678,992428,574250,21813.9,1020155,8.14,0.78,1.78,6.52%,23.06%,13.11%,-,THG,6/30/2022 0:00,33.41,THG
Q1 2022,351035,31316,1090.89,-,1570996,1009634,561362,21316.48,1405475,12.02,1.08,2.5,8.21%,25.91%,8.89%,-,THG,3/31/2022 0:00,45.74,THG
Q4 2021,386664,33434,1196.81,923.432,1555648,1025071,530577,20126.58,1319230,10.96,1,2.49,4.52%,15.93%,9.71%,3.63%,THG,12/31/2021 0:00,42.44,THG
Q3 2021,154953,20069,778.15,615.621,1401567,889936,511631,19408.9,1103617,8.36,0.78,2.16,9.26%,32.87%,12.73%,1.75%,THG,9/30/2021 0:00,35.13,THG
Q2 2021,407464,40155,1717.75,-,1453050,974596,478454,18116.4,1187700,8.36,0.72,2.48,7.70%,27.74%,12.67%,-,THG,6/30/2021 0:00,37.33,THG
Q1 2021,369882,34378,1230.96,-,1403933,898470,505463,19150.51,1170277,6.92,0.65,2.32,10.31%,39.52%,15.21%,-,THG,3/31/2021 0:00,36.79,THG
Q4 2020,478487,45906,1639.99,-,1448816,955655,493161,18676.49,817451,5.19,0.46,1.66,6.70%,27.64%,20.50%,-,THG,12/31/2020 0:00,25.21,THG
Q3 2020,388988,30068,1056.22,559.656,1410123,949489,460635,17469.44,752113,5.17,0.43,1.63,17.10%,65.84%,20.58%,6.98%,THG,9/30/2020 0:00,22.6,THG
Q2 2020,572419,67687,2368.66,-,1330853,913967,416886,15792.12,727430,5.07,0.44,1.74,5.10%,23.68%,20.98%,-,THG,6/30/2020 0:00,21.86,THG
Q1 2020,342256,23876,756.88,-,1237203,829176,408027,15458.33,539871,5.46,0.37,1.32,Upgrade,Upgrade,20.00%,-,THG,3/31/2020 0:00,15.6,THG
Q4 2019,,,,,,,,,,,,,,,,,THG,12/31/2019 0:00,16.37,THG
Q3 2024,,,,,,,,,,,,,,,,,ACC,9/30/2024 0:00,13.4,ACC
Q2 2024,,,,,,,,,,,,,,,,,ACC,6/30/2024 0:00,13.85,ACC
Q1 2024,,,,,,,,,,,,,,,,,ACC,3/31/2024 0:00,14.35,ACC
Q4 2023,,,,,,,,,,,,,,,,,ACC,12/31/2023 0:00,12.35,ACC
Q3 2023,,,,,,,,,,,,,,,,,ACC,9/30/2023 0:00,12.05,ACC
Q2 2023,,,,,,,,,,,,,,,,,ACC,6/30/2023 0:00,13.5,ACC
Q1 2023,,,,,,,,,,,,,,,,,ACC,3/31/2023 0:00,13.75,ACC
Q4 2022,,,,,,,,,,,,,,,,,ACC,12/31/2022 0:00,11.2,ACC
Q3 2022,,,,,,,,,,,,,,,,,ACC,9/30/2022 0:00,16.2,ACC
Q2 2022,,,,,,,,,,,,,,,,,ACC,6/30/2022 0:00,13.42,ACC
Q1 2022,,,,,,,,,,,,,,,,,ACC,3/31/2022 0:00,18.98,ACC
Q4 2021,,,,,,,,,,,,,,,,,ACC,12/31/2021 0:00,15.23,ACC
Q3 2021,,,,,,,,,,,,,,,,,ACC,9/30/2021 0:00,7.4,ACC
Q2 2021,,,,,,,,,,,,,,,,,ACC,6/30/2021 0:00,6.67,ACC
Q1 2021,,,,,,,,,,,,,,,,,ACC,3/31/2021 0:00,7.4,ACC
Q4 2020,,,,,,,,,,,,,,,,,ACC,12/31/2020 0:00,6.39,ACC
Q3 2020,,,,,,,,,,,,,,,,,ACC,9/30/2020 0:00,5.49,ACC
Q2 2020,,,,,,,,,,,,,,,,,ACC,6/30/2020 0:00,4.94,ACC
Q1 2020,,,,,,,,,,,,,,,,,ACC,3/31/2020 0:00,5.43,ACC
Q4 2019,,,,,,,,,,,,,,,,,ACC,12/31/2019 0:00,5.57,ACC
Q3 2024,1107492,22711,219.16,-,3995934,2644311,1351623,13043.38,1274591,19.66,0.27,0.94,0.59%,6.32%,6.70%,-,CSM,9/30/2024 0:00,12.3,CSM
Q2 2024,1265112,21123,203.84,-,3890567,2561655,1328913,12824.21,1559560,25.5,0.31,1.17,2.86%,5.90%,5.24%,-,CSM,6/30/2024 0:00,14.69,CSM
Q1 2024,1147157,19673,189.85,-,3770013,2426139,1343873,12968.59,1544016,29.49,0.3,1.15,2.85%,6.68%,4.72%,-,CSM,3/31/2024 0:00,14.55,CSM
Q4 2023,1278717,21930,12.8,300,3884301,2560100,1324200,12778.74,1264228,31.79,0.24,0.95,2.85%,5.89%,4.78%,2.52%,CSM,12/31/2023 0:00,11.91,CSM
