,no,s,n,marketCap,price,change,revenue,url
105,106,hnx/VTV,Vicem Energy and Environment JSC,383757847500.0,13000.0,0.0,1360524438250.0,quote/hnx/VTV
106,107,hnx/GDW,Gia Dinh Water Supply JSC,357200000000.0,34000.0,-0.5847953216374269,672328330017.0,quote/hnx/GDW
107,108,hnx/CTB,Hai Duong Pump Manufacturing JSC,352944000000.0,25800.0,9.787234042553193,684754473081.0,quote/hnx/CTB
108,109,hnx/VSA,Vietnam Ocean Shipping Agency Corporation,352412150000.0,24900.0,-3.488372093023256,1101209084537.0,quote/hnx/VSA
109,110,hnx/SDU,Song Da Urban Investment Construction and Development JSC,348000000000.0,19200.0,9.090909090909092,85667551991.0,quote/hnx/SDU
110,111,hnx/MAC,Marine Supply and Engineering Service JSC,346700160500.0,22000.0,7.317073170731707,124492177234.0,quote/hnx/MAC
111,112,hnx/DVM,Vietnam Medicinal Materials JSC,342240000000.0,8200.0,-1.2048192771084338,,quote/hnx/DVM
112,113,hnx/PCH,Picomat Plastic JSC,336379499600.0,13900.0,0.0,194942239067.0,quote/hnx/PCH
113,114,hnx/HLC,Vinacomin - HaLam Coal JSC,330397587000.0,13900.0,7.751937984496124,2998557338965.0,quote/hnx/HLC
114,115,hnx/POT,Post and Telecommunication Equipment JSC,330310102000.0,17000.0,0.0,1617938491726.0,quote/hnx/POT
115,116,hnx/BAX,Thong Nhat JSC,328000000000.0,40000.0,2.564102564102564,72989804812.0,quote/hnx/BAX
116,117,hnx/CCR,Cam Ranh Port JSC,320342382700.0,13100.0,-9.027777777777777,178096396187.0,quote/hnx/CCR
117,118,hnx/THT,Vinacomin - Ha Tu Coal JSC,292371718800.0,11900.0,-0.8333333333333334,4282245723378.0,quote/hnx/THT
118,119,hnx/PVG,Petro Vietnam LPG JSC,291989210600.0,7500.0,1.351351351351351,5196289656524.0,quote/hnx/PVG
119,120,hnx/HOM,Vicem Hoang Mai Cement JSC,287990924000.0,4000.0,0.0,1709812611405.0,quote/hnx/HOM
120,121,hnx/TV4,Power Engineering Consulting Joint Stock Company 4,284853499200.0,14500.0,-0.684931506849315,207053172796.0,quote/hnx/TV4
121,122,hnx/VIG,Viet Nam Financial Investment Securities Corporation,284339790000.0,6100.0,-1.6129032258064515,42375110616.0,quote/hnx/VIG
122,123,hnx/TSB,Tiasang Battery Joint stock company,276564680000.0,41300.0,-1.1961722488038278,182053893851.0,quote/hnx/TSB
123,124,hnx/CLH,La Hien Cement JSC,276000000000.0,23100.0,0.0,661186027676.0,quote/hnx/CLH
124,125,hnx/X20,X20 JSC,272550000000.0,16000.0,-0.6211180124223602,1301552526668.0,quote/hnx/X20
125,126,hnx/BNA,Bao Ngoc Investment Production Corporation,268744788400.00003,8900.0,0.0,1726061598246.0,quote/hnx/BNA
126,127,hnx/SED,Phuong Nam Education Investment and Development JSC,266100659999.99997,29000.0,0.6944444444444444,1331233537816.0,quote/hnx/SED
127,128,hnx/VHL,Viglacera Ha Long joint stock company,265000000000.0,9800.0,0.0,1148291688627.0,quote/hnx/VHL
128,129,hnx/DDG,Indochine Import Export Investment Industrial JSC,263471623800.0,3300.0,0.0,357793955736.0,quote/hnx/DDG
129,130,hnx/SCI,SCI E&C JSC,262226117400.0,8600.0,-1.1494252873563218,1007950534867.0,quote/hnx/SCI
130,131,hnx/PMS,Petroleum Mechanical Stock Company,258543614800.0,36000.0,-2.702702702702702,1385858111571.0,quote/hnx/PMS
131,132,hnx/WSS,Wall Street Securities JSC,256530000000.0,5100.0,0.0,23333089398.0,quote/hnx/WSS
132,133,hnx/CAN,Ha Long Canned Food Joint Stock Corporation,252000000000.0,50400.0,-10.0,681810329515.0,quote/hnx/CAN
133,134,hnx/SD5,Song Da 5 JSC,249598540800.0,9800.0,0.0,2337132929483.0,quote/hnx/SD5
134,135,hnx/VGP,The Vegetexco Port JSC,246516543000.0,31400.0,-0.31746031746031744,10581070482074.0,quote/hnx/VGP
135,136,hnx/VC6,Visicons Construction and Investment JSC,244663169300.0,28000.0,1.083032490974729,1647088311259.0,quote/hnx/VC6
136,137,hnx/CMS,CMH Vietnam Group JSC,241798750000.0,9400.0,1.0752688172043012,202066527362.0,quote/hnx/CMS
137,138,hnx/HBS,Hoa Binh Securities JSC,237599856000.0,7400.0,1.36986301369863,14226883569.0,quote/hnx/HBS
138,139,hnx/KTS,Kon Tum Sugar JSC,235248000000.0,46400.0,-1.694915254237288,381153422288.0,quote/hnx/KTS
139,140,hnx/VCC,Vinaconex 25 JSC,230400000000.0,9300.0,-4.123711340206185,1057004061947.0,quote/hnx/VCC
140,141,hnx/VMS,Vietnam Maritime Development JSC,228599949200.0,25400.0,9.956709956709958,213827803788.0,quote/hnx/VMS
141,142,hnx/VSM,Vietnam Maritime Development JSC,228599949200.0,21000.0,0.0,213827803788.0,quote/hnx/VSM
142,143,hnx/PPT,Petro Times JSC,216562500000.0,12600.0,0.0,,quote/hnx/PPT
143,144,hnx/GMX,My Xuan Brick Tile Pottery and Construction JSC,206043739800.0,18200.0,1.1111111111111112,164814261304.0,quote/hnx/GMX
144,145,hnx/PJC,Petrolimex Hanoi Transportation and Trading JSC,205152108000.0,28999.999999,-1.612903225642287,1188944768920.0,quote/hnx/PJC
145,146,hnx/NAP,Nghe Tinh Port JSC,204413400000.0,9500.0,1.0638297872340423,208040982497.0,quote/hnx/NAP
146,147,hnx/VMC,Vimeco Joint stock company,193392576800.0,7300.0,-1.351351351351351,1118087481331.0,quote/hnx/VMC
147,148,hnx/GIC,Green Development and Investment Service JSC,192708000000.0,17100.0,-1.7241379310344829,159342953965.0,quote/hnx/GIC
148,149,hnx/RCL,Cho Lon Real Estate JSC,191250253200.0,13500.0,1.5037593984962403,14946403677.0,quote/hnx/RCL
149,150,hnx/PCE,Central PetroVietnam Fertilizer And Chemicals JSC,191000000000.0,19100.0,0.0,3150352405159.0,quote/hnx/PCE
150,151,hnx/DST,Sao Thang Long Investment JSC,186870200000.0,6000.0,0.0,53034478392.0,quote/hnx/DST
151,152,hnx/CIA,Cam Ranh International Airport Services Joint-Stock Company,186612430000.0,10300.0,0.0,123106972488.0,quote/hnx/CIA
152,153,hnx/KHS,Kien Hung JSC,183782728800.0,15200.0,0.0,657528281152.0,quote/hnx/KHS
153,154,hnx/DTG,Tipharco Pharmaceutical JSC,182926626600.0,21900.0,-0.4545454545454546,,quote/hnx/DTG
154,155,hnx/PPS,Petrovietnam Power Services JSC,172500000000.0,11700.0,0.0,372622978479.0,quote/hnx/PPS
155,156,hnx/TDT,TDT Investment and Development JSC,172055044800.0,7200.0,0.0,563129638093.0,quote/hnx/TDT
156,157,hnx/LDP,Lamdong Pharmaceutical JSC,171492322500.0,13300.0,3.10077519379845,217957757303.0,quote/hnx/LDP
157,158,hnx/VBC,Vinh Plastic and Bags JSC,170999088000.0,22800.0,9.615384615384617,822003074146.0,quote/hnx/VBC
158,159,hnx/TA9,Thanh An 96 Installation And Construction JSC,170151081900.0,13700.0,0.0,3455603546641.0,quote/hnx/TA9
159,160,hnx/TOT,Transimex Transportation JSC,168504094200.0,18400.0,3.3707865168539324,255129524908.0,quote/hnx/TOT
160,161,hnx/PPP,Phong Phu Pharmaceutical JSC,168079828100.0,19300.0,-0.5154639175257731,137548454537.0,quote/hnx/PPP
161,162,hnx/TJC,Transportation and Trading Services JSC,165980000000.0,17900.0,0.0,3344928808.0,quote/hnx/TJC
162,163,hnx/SDG,SADICO Can Tho Joint Stock Corporation,158183953200.0,15600.0,0.0,1106615410196.0,quote/hnx/SDG
163,164,hnx/MAS,Danang Airports Services Joint-Stock Company,157904271000.0,37600.0,-0.79155672823219,177406724480.0,quote/hnx/MAS
164,165,hnx/TTT,Tay Ninh Tourist - Trading JSC,154930119000.0,31500.0,0.0,124434586569.0,quote/hnx/TTT
165,166,hnx/GKM,Khang Minh Group JSC,147740913900.0,4600.0,0.0,145405107521.0,quote/hnx/GKM
166,167,hnx/L40,40 Investment and Construction JSC,146880000000.0,41500.0,1.715686274509804,340967016165.0,quote/hnx/L40
167,168,hnx/HMH,Haiminh Corporation,146727375000.0,15000.0,2.0408163265306123,121272479557.0,quote/hnx/HMH
168,169,hnx/SDA,SIMCO Song Da JSC,144132945000.0,5500.0,-3.508771929824561,41330743041.0,quote/hnx/SDA
169,170,hnx/V12,Viet Nam Construction Joint Stock Company No 12,143122800000.0,12300.0,-9.558823529411764,460882195733.0,quote/hnx/V12
170,171,hnx/PSW,South West Petrovietnam Fertilizer and Chemicals JSC,137700000000.0,8200.0,0.0,2708460952124.0,quote/hnx/PSW
171,172,hnx/ICG,Song Hong Construction JSC,137061600000.0,7900.0,1.282051282051282,13209223017.0,quote/hnx/ICG
172,173,hnx/PV2,PV2 Investment JSC,136414560000.0,3700.0,2.7777777777777777,150000000000.0,quote/hnx/PV2
173,174,hnx/PSE,South-East PetroVietnam Fertilizer and Chemicals JSC,132500000000.0,10500.0,-1.8691588785046729,3145293534178.0,quote/hnx/PSE
174,175,hnx/NST,Ngan Son JSC,129943234800.0,11200.0,-2.608695652173913,869476126115.0,quote/hnx/NST
175,176,hnx/HDA,Dong A Paint JSC,129719844900.0,4800.0,0.0,255973767442.0,quote/hnx/HDA
176,177,hnx/TV3,Power Engineering Consulting Joint Stock Company 3,126579943700.0,13300.0,-2.2058823529411766,185085686110.0,quote/hnx/TV3
177,178,hnx/LIG,Licogi 13 JSC,125918163200.0,3200.0,0.0,3766238031498.0,quote/hnx/LIG
178,179,hnx/EBS,Educational Book JSC in Hanoi City,123655756400.0,12600.0,0.8,72619116292.0,quote/hnx/EBS
179,180,hnx/PGN,Plastic Additives JSC,123043167000.0,13900.0,-0.7142857142857143,221001048262.0,quote/hnx/PGN
180,181,hnx/SVN,Vexilla Viet Nam Group JSC,121800000000.0,5600.0,-5.084745762711865,85558856460.0,quote/hnx/SVN
181,182,hnx/CAG,An Giang Port Joint-Stock Company,118680000000.0,8700.0,0.0,38371820418.0,quote/hnx/CAG
182,183,hnx/NSH,Song Hong Aluminium JSC,117952590900.0,5200.0,0.0,1012994256509.0,quote/hnx/NSH
183,184,hnx/KDM,Le Gia Investment Group JSC,116993507400.0,15400.0,-0.6451612903225806,35660063272.0,quote/hnx/KDM
184,185,hnx/DHP,Hai Phong Electrical Mechanical JSC,114855620000.0,12100.0,-0.819672131147541,237782477047.0,quote/hnx/DHP
185,186,hnx/PMB,North PetroVietnam Fertilizer & Chemicals JSC,114000000000.0,9600.0,0.0,2153311868675.0,quote/hnx/PMB
186,187,hnx/TTH,Tien Thanh Service and Trading JSC,112124538000.0,3100.0,0.0,872556641994.0,quote/hnx/TTH
187,188,hnx/DIH,Development Investment Construction Hoi An JSC,109617207600.0,15900.0,2.5806451612903225,222112989462.0,quote/hnx/DIH
188,189,hnx/STC,Book and Educational Equipment JSC,106511964000.0,19000.0,0.0,490317152826.0,quote/hnx/STC
189,190,hnx/VHE,Vietnam Herbs and Foods JSC,106047987200.0,3200.0,0.0,436101869536.0,quote/hnx/VHE
190,191,hnx/SHE,Son Ha Development of Renewable Energy JSC,105823147200.0,9000.0,0.0,196407617521.0,quote/hnx/SHE
191,192,hnx/TMC,Thu Duc Trading and Import-Export JSC,105400000000.0,8500.0,-1.162790697674419,2489000782722.0,quote/hnx/TMC
192,193,hnx/UNI,Vien Lien JSC,104638134400.0,6700.0,-2.898550724637681,1067037037.0,quote/hnx/UNI
193,194,hnx/VC1,Construction Joint Stock Company No. 1,103200000000.0,9500.0,0.0,508484750647.0,quote/hnx/VC1
194,195,hnx/MCF,Mechanics Construction and Foodstuff JSC,93767190600.0,8600.0,-1.1494252873563218,480125601327.0,quote/hnx/MCF
195,196,hnx/KSQ,CNC Capital Viet Nam JSC,93000000000.0,3100.0,0.0,7450091674.0,quote/hnx/KSQ
196,197,hnx/HCC,Intimex - Hoa Cam Concrete JSC,90607803300.0,13900.0,0.0,300015394544.0,quote/hnx/HCC
197,198,hnx/PDB,DIN Capital Investment Group JSC,89990808100.0,10200.0,0.0,307927199240.0,quote/hnx/PDB
